Fecha,Close,High,Low,Open,Volume
2016-01-04,8.618887901306152,8.882347648341343,8.317791662868842,8.882347648341343,301220
2016-01-05,8.581250190734863,8.656524604881843,8.317791176960469,8.54361370153139,340727
2016-01-06,8.204879760742188,8.61888761315469,8.167243270598352,8.61888761315469,316808
2016-01-07,8.129606246948242,8.28015436454783,7.941420920481247,8.20487994681301,204335
2016-01-08,7.941420555114746,8.280153983596984,7.903783347978938,8.167243080059576,161737
2016-01-11,7.715598106384277,8.129605953227681,7.565049994223954,8.016694330704922,388229
2016-01-12,7.226316928863525,7.828509408043769,7.1510425100309645,7.715598497664988,1067392
2016-01-13,6.8875813484191895,7.452137220186989,6.849944864597267,7.301589131289559,721200
2016-01-14,6.962855339050293,7.06071177050025,6.6993956606950364,6.887580940128828,380181
2016-01-15,6.496156215667725,6.849944757444874,6.398299779947666,6.849944757444874,782517
2016-01-18,6.210115909576416,6.586486570762865,6.157424246728734,6.586486570762865,397198
2016-01-19,6.187533378601074,6.511211633316489,6.0746217585068525,6.323026317696128,882832
2016-01-20,6.0219292640686035,6.210114553570747,5.931600411251964,6.187532519834065,741316
2016-01-21,6.187533378601074,6.323026317696128,6.029457684765171,6.0746217585068525,400062
2016-01-22,6.586485385894775,6.699396276790711,6.32302568331101,6.398300089154925,655316
2016-01-25,6.699396133422852,6.767142953658598,6.511210840710188,6.601540412937798,298116
2016-01-26,6.77467155456543,6.887582459993509,6.661760649137351,6.699397139033358,219992
2016-01-27,6.9026384353637695,6.9026384353637695,6.774672344755446,6.849946769067441,383041
2016-01-28,6.9252190589904785,7.0004934679054704,6.789726127961447,6.85747223454098,455718
2016-01-29,7.1284589767456055,7.188678212036114,6.88758131771366,7.000492922285797,353368
2016-02-01,7.173623561859131,7.21878835052063,6.92521901889579,7.128459491067594,305317
2016-02-02,6.962855339050293,7.166095785416326,6.8499444585379665,7.166095785416326,269719
2016-02-03,6.895110607147217,7.0757683577057255,6.737034895940999,6.947802271592593,514556
2016-02-04,7.000493049621582,7.075766736168957,6.925218645204283,6.940273813235712,561569
2016-02-05,7.000493049621582,7.128459106409035,6.925218645204283,7.128459106409035,377032
2016-02-10,6.699396133422852,6.962855830368549,6.624122447059739,6.962855830368549,347143
2016-02-11,6.398300647735596,6.737034067865245,6.285389746982379,6.737034067865245,521426
2016-02-12,6.563903331756592,6.586485366294592,6.285389179554813,6.330553248630812,796335
2016-02-15,6.51121187210083,6.737034402700808,6.4735753818925295,6.5639042505585135,404122
2016-02-16,6.737033843994141,6.744561428559547,6.398300435120576,6.624122946992944,541740
