Fecha,Close,High,Low,Open,Volume
2016-01-04,213.29510498046875,215.2341513893821,207.4779657537287,213.29510498046875,80920
2016-01-05,212.27711486816406,218.14273355129347,209.9987440828789,218.14273355129347,38760
2016-01-06,208.49595642089844,211.35604675539824,203.5998615533653,210.38652360514413,49640
2016-01-07,211.35606384277344,216.2036799859563,201.95169148374873,201.95169148374873,78032
2016-01-08,206.50845336914062,214.26463941117407,202.92122028345034,212.3740720221786,80690
2016-01-11,194.8741455078125,208.44746907552081,192.45033772786456,207.04166352190077,96625
2016-01-12,190.5113067626953,198.75225387456763,186.7301722406303,196.76472837707198,59476
2016-01-13,181.30084228515625,195.35892898641168,179.36179584360377,190.89911625334088,84189
2016-01-14,189.05702209472656,189.05702209472656,181.30083657289163,181.30083657289163,37368
2016-01-15,184.2094268798828,187.1179967779862,180.33133368241158,181.7856186314633,65720
2016-01-18,178.39227294921875,184.20941228451937,176.9379881153936,184.20941228451937,20621
2016-01-19,180.33132934570312,188.57227719214654,179.36180606965095,179.84656770767705,68477
2016-01-20,173.54466247558594,179.84656362693403,171.12085434045207,179.84656362693403,84635
2016-01-21,187.11798095703125,187.11798095703125,171.60560947872816,173.54465591351604,113122
2016-01-22,196.86167907714844,206.508431485934,193.9046305032244,193.9046305032244,130649
2016-01-25,201.1760711669922,202.1455944015319,189.05703073524566,195.8436933770237,71844
2016-01-26,204.56939697265625,208.4474898062611,198.75225772224897,200.20654253485077,128736
2016-01-27,210.38653564453125,212.3255820560016,203.5998732043851,206.5084428215906,78975
2016-01-28,218.14273071289062,222.99034695095486,213.2951144748264,213.2951144748264,227493
2016-01-29,227.8379669189453,227.8379669189453,218.19121340602103,222.2632081539073,88850
2016-02-01,227.8379669189453,227.8379669189453,218.14273428409658,225.41415876023314,76669
2016-02-02,222.0208282470703,223.9598747819792,218.1427351772525,222.99035151452478,64685
2016-02-03,225.4141387939453,228.8074699155746,219.11223813949093,222.9903308499244,81381
2016-02-04,238.0179443359375,239.47222912821408,226.38366599772465,227.83795079000126,180177
2016-02-05,233.1703338623047,241.41128121294747,231.81300727499303,240.44175799522478,99415
2016-02-10,227.8379669189453,229.77701344591506,216.20368775712683,222.99035060152096,71576
2016-02-11,222.0208282470703,224.92939804943367,214.26464210743467,214.26464210743467,62160
2016-02-12,236.0789031982422,237.0484264146621,225.89890942583338,227.83795585867315,76876
2016-02-15,242.8655548095703,243.8350779824628,236.07889259932284,236.07889259932284,41572
2016-02-16,243.35031127929688,245.28935758431118,236.07888763549317,245.28935758431118,59575
2016-02-17,257.65081787109375,262.74081521379645,244.41683069756735,244.41683069756735,152794
2016-02-18,259.83221435546875,269.43048799811487,255.95412160389458,262.7892482435442,127889
2016-02-19,256.9236145019531,257.8931375755454,249.40981068161298,256.9236145019531,100401
2016-02-22,276.3140869140625,277.28361002604163,262.98314412434894,264.1950480143229,121712
2016-02-23,273.16314697265625,276.3140972039291,269.5274351673414,276.3140972039291,50232
2016-02-24,281.1617431640625,282.1312664163524,259.83223161368534,270.49698738887395,97685
2016-02-25,286.0093688964844,286.0093688964844,277.2836593369306,281.16175247451,182786
2016-02-26,282.1312561035156,290.85696505517075,281.16173288666505,287.9483954046191,200279
2016-02-29,279.2226867675781,290.85696538289386,275.3445938958062,282.13125642140704,102102
2016-03-01,276.7988586425781,286.0093285448705,275.78087117258724,279.2226665116024,75648
2016-03-02,284.5550537109375,285.0398153015865,267.58839803822406,272.4360139447136,70130
2016-03-03,277.2836608886719,288.9179403665182,276.31413759885135,281.161754047954,104015
2016-03-04,273.40557861328125,280.19224191219246,271.46653195644944,274.37510194169715,63006
2016-03-07,271.9512634277344,275.73239807126157,271.4665018173463,272.4360250381225,70016
2016-03-08,275.829345703125,276.3141072948704,269.527445010435,272.43601456090727,22226
2016-03-09,266.81280517578125,277.28364424223594,266.6188886944576,275.8293593948116,50733
2016-03-10,257.8931884765625,271.46651418585526,256.923665211613,263.71032806625936,92834
2016-03-11,249.16744995117188,259.9776271735771,248.19792679961088,259.92916285099847,85959
2016-03-14,242.38079833984375,249.16746069335937,242.38079833984375,247.13145606980473,49247
2016-03-15,232.68556213378906,238.9874627749125,232.68556213378906,238.9874627749125,36914
2016-03-16,237.0484161376953,237.53317772488896,233.1703234401461,234.62460820172706,45199
2016-03-17,247.22842407226562,252.07604023054535,239.56919645968387,239.56919645968387,87336
2016-03-18,250.23394775390625,254.0150823755847,247.2284198693668,252.07603594523673,65005
2016-03-21,254.0150909423828,256.92366068599785,244.3198584636659,254.9846141902545,116601
2016-03-22,254.0150909423828,255.37241757190287,251.5912828227036,253.77271013041488,17895
2016-03-23,249.16744995117188,252.5607809816353,246.25888049648893,251.10649625429383,37320
2016-03-28,252.94857788085938,253.04553611104515,244.8045895327161,249.16744360359618,26862
2016-03-29,252.07603454589844,254.01508096548227,249.1674649165227,251.59127294100247,73902
2016-03-30,247.71319580078125,256.92366687752263,247.3253924097873,253.1425320372029,32974
2016-03-31,254.49984741210938,255.85717401414047,250.3793736921038,250.3793736921038,105935
2016-04-01,253.0455780029297,253.0455780029297,248.19796156609195,252.5608163592459,41510
2016-04-04,244.02899169921875,254.01508383149715,242.38080518272628,252.94860237119303,41306
2016-04-05,238.50271606445312,246.06500026427125,238.50271606445312,243.35033224462495,25701
2016-04-06,237.29083251953125,244.2713974632962,236.56369002968592,241.41130662865487,55286
2016-04-07,231.23129272460938,236.56367054425445,228.95290719326078,235.594147304319,38781
2016-04-08,235.10939025878906,240.4417681821843,233.65510537059038,233.65510537059038,50219
2016-04-11,239.6661376953125,241.41128245494167,237.82404948966249,237.82404948966249,33852
2016-04-12,253.0455780029297,253.53033964661344,241.41129855451913,241.41129855451913,47785
2016-04-13,257.69927978515625,257.79623803208506,249.16748663047574,254.01510310188579,100556
2016-04-14,260.8017578125,261.2865194441218,256.92366475952605,258.862711286013,39587
2016-04-15,257.40838623046875,262.74076334635413,254.98457845052081,254.98457845052081,27836
2016-04-18,262.2560119628906,262.2560119628906,250.13697259307128,255.2269691283954,43986
2016-04-19,279.2226867675781,279.7074483765496,262.7892563884444,262.7892563884444,154976
2016-04-20,286.9788818359375,289.4026899595518,279.2226958403716,281.16174233926307,120037
2016-04-21,283.10076904296875,287.9483849512388,280.24066382208963,286.73648097417123,53569
2016-04-22,281.646484375,288.4331466490964,278.25315323795184,283.1007691480207,52902
2016-04-25,268.4609375,280.19217279760676,266.6188495478957,280.19217279760676,60457
2016-04-26,274.1326904296875,276.99279576342366,268.073170305247,268.073170305247,39882
2016-04-27,277.7684326171875,281.16176425474475,274.37510097963025,277.28367095467934,67624
2016-04-28,275.3446044921875,279.22269751320425,274.37508123693334,278.25317425795004,58889
2016-04-29,280.5315856933594,280.58005002559037,276.31415322661024,276.31415322661024,42040
2016-05-02,274.85980224609375,280.1437150413791,273.5509401274224,280.1437150413791,25239
2016-05-03,267.491455078125,273.40555273927623,263.71032037263524,273.40555273927623,25721
2016-05-04,265.16461181640625,270.496989750557,264.6798501860289,268.5579432290476,13929
2016-05-05,273.89031982421875,278.25317447628595,270.4969884281665,270.4969884281665,107871
2016-05-06,274.85980224609375,278.2531331380208,271.46647135416663,271.46647135416663,47734
2016-05-09,271.4665222167969,275.3446153913226,268.55795233590266,272.4360455104283,57869
2016-05-10,275.829345703125,275.829345703125,271.4664913774165,271.4664913774165,62361
2016-05-11,282.6159973144531,282.90684242351665,271.4664811253752,271.4664811253752,71696
2016-05-12,284.5550537109375,288.33618820049946,281.1617225763948,282.61600734834167,105327
2016-05-13,276.3140869140625,284.0702718098958,274.37504069010413,284.0702718098958,100583
2016-05-16,280.1922302246094,281.646515156571,275.34461378473725,275.34461378473725,45233
